Id;Username;Email;Body
2500;user_5_5;amos_krajcik@kemmer-damore.example;Pleasure in the job puts perfection in the work.
2499;user_5_5;amos_krajcik@kemmer-damore.example;Beware the barrenness of a busy life.
2498;user_5_5;amos_krajcik@kemmer-damore.example;The unexamined life is not worth living.
2497;user_5_5;amos_krajcik@kemmer-damore.example;Only the educated are free.
2496;user_5_5;amos_krajcik@kemmer-damore.example;A few vices are sufficient to darken many virtues.
"2495;user_5_5;amos_krajcik@kemmer-damore.example;Dignity does not consist in possessing honors, but in deserving them."
"2494;user_5_5;amos_krajcik@kemmer-damore.example;Dignity does not consist in possessing honors, but in deserving them."
"2493;user_5_5;amos_krajcik@kemmer-damore.example;Know how to listen, and you will profit even from those who talk badly."
2492;user_5_5;amos_krajcik@kemmer-damore.example;Philosophy is the highest music.
2491;user_5_5;amos_krajcik@kemmer-damore.example;Only the educated are free.
2490;user_5_5;amos_krajcik@kemmer-damore.example;Most people would rather give than get affection.
2489;user_5_5;amos_krajcik@kemmer-damore.example;The secret to humor is surprise.
2488;user_5_5;amos_krajcik@kemmer-damore.example;There was never a genius without a tincture of madness.
2487;user_5_5;amos_krajcik@kemmer-damore.example;The unexamined life is not worth living.
2486;user_5_5;amos_krajcik@kemmer-damore.example;Only the educated are free.
"2485;user_5_5;amos_krajcik@kemmer-damore.example;Dignity does not consist in possessing honors, but in deserving them."
2484;user_5_5;amos_krajcik@kemmer-damore.example;Beware the barrenness of a busy life.
2483;user_5_5;amos_krajcik@kemmer-damore.example;Good habits formed at youth make all the difference.
"2482;user_5_5;amos_krajcik@kemmer-damore.example;Dignity does not consist in possessing honors, but in deserving them."
2481;user_5_5;amos_krajcik@kemmer-damore.example;Beware the barrenness of a busy life.
"2480;user_5_5;amos_krajcik@kemmer-damore.example;It's not what happens to you, but how you react to it that matters."
2479;user_5_5;amos_krajcik@kemmer-damore.example;It is impossible to begin to learn that which one thinks one already knows.
2478;user_5_5;amos_krajcik@kemmer-damore.example;A few vices are sufficient to darken many virtues.
2477;user_5_5;amos_krajcik@kemmer-damore.example;The unexamined life is not worth living.
2476;user_5_5;amos_krajcik@kemmer-damore.example;Philosophy is the highest music.
2475;user_5_5;amos_krajcik@kemmer-damore.example;There was never a genius without a tincture of madness.
"2474;user_5_5;amos_krajcik@kemmer-damore.example;Dignity does not consist in possessing honors, but in deserving them."
2473;user_5_5;amos_krajcik@kemmer-damore.example;Beware the barrenness of a busy life.
2472;user_5_5;amos_krajcik@kemmer-damore.example;Love is composed of a single soul inhabiting two bodies.
2471;user_5_5;amos_krajcik@kemmer-damore.example;Good habits formed at youth make all the difference.
"2470;user_5_5;amos_krajcik@kemmer-damore.example;Know how to listen, and you will profit even from those who talk badly."
2469;user_5_5;amos_krajcik@kemmer-damore.example;A few vices are sufficient to darken many virtues.
2468;user_5_5;amos_krajcik@kemmer-damore.example;Only the educated are free.
2467;user_5_5;amos_krajcik@kemmer-damore.example;Philosophy is the highest music.
"2466;user_5_5;amos_krajcik@kemmer-damore.example;Dignity does not consist in possessing honors, but in deserving them."
2465;user_5_5;amos_krajcik@kemmer-damore.example;Only the educated are free.
2464;user_5_5;amos_krajcik@kemmer-damore.example;Love is composed of a single soul inhabiting two bodies.
"2463;user_5_5;amos_krajcik@kemmer-damore.example;Know how to listen, and you will profit even from those who talk badly."
2462;user_5_5;amos_krajcik@kemmer-damore.example;A few vices are sufficient to darken many virtues.
2461;user_5_5;amos_krajcik@kemmer-damore.example;A few vices are sufficient to darken many virtues.
"2460;user_5_5;amos_krajcik@kemmer-damore.example;Know how to listen, and you will profit even from those who talk badly."
2459;user_5_5;amos_krajcik@kemmer-damore.example;It is impossible to begin to learn that which one thinks one already knows.
2458;user_5_5;amos_krajcik@kemmer-damore.example;There was never a genius without a tincture of madness.
2457;user_5_5;amos_krajcik@kemmer-damore.example;Philosophy is the highest music.
2456;user_5_5;amos_krajcik@kemmer-damore.example;Beware the barrenness of a busy life.
2455;user_5_5;amos_krajcik@kemmer-damore.example;A few vices are sufficient to darken many virtues.
2454;user_5_5;amos_krajcik@kemmer-damore.example;Pleasure in the job puts perfection in the work.
2453;user_5_5;amos_krajcik@kemmer-damore.example;Love is composed of a single soul inhabiting two bodies.
2452;user_5_5;amos_krajcik@kemmer-damore.example;The secret to humor is surprise.
2451;user_5_5;amos_krajcik@kemmer-damore.example;The mind is not a vessel to be filled but a fire to be kindled.
"2450;user_5_5;amos_krajcik@kemmer-damore.example;Quality is not an act, it is a habit."
2449;user_5_5;amos_krajcik@kemmer-damore.example;Control thy passions lest they take vengence on thee.
"2448;user_5_5;amos_krajcik@kemmer-damore.example;It's not what happens to you, but how you react to it that matters."
"2447;user_5_5;amos_krajcik@kemmer-damore.example;It's not what happens to you, but how you react to it that matters."
"2446;user_5_5;amos_krajcik@kemmer-damore.example;Know how to listen, and you will profit even from those who talk badly."
2445;user_5_5;amos_krajcik@kemmer-damore.example;A few vices are sufficient to darken many virtues.
"2444;user_5_5;amos_krajcik@kemmer-damore.example;Know how to listen, and you will profit even from those who talk badly."
2443;user_5_5;amos_krajcik@kemmer-damore.example;Love is composed of a single soul inhabiting two bodies.
2442;user_5_5;amos_krajcik@kemmer-damore.example;Good habits formed at youth make all the difference.
2441;user_5_5;amos_krajcik@kemmer-damore.example;The unexamined life is not worth living.
2440;user_5_5;amos_krajcik@kemmer-damore.example;Beware the barrenness of a busy life.
2439;user_5_5;amos_krajcik@kemmer-damore.example;A few vices are sufficient to darken many virtues.
2438;user_5_5;amos_krajcik@kemmer-damore.example;Pleasure in the job puts perfection in the work.
2437;user_5_5;amos_krajcik@kemmer-damore.example;Control thy passions lest they take vengence on thee.
